state_name,year,month,temp_mean,temp_max,rainfall_mm,n_fires
Australian Capital Territory,2005,12,20.35483870967742,11.890322580645162,NA,NA
Australian Capital Territory,2006,1,23.375806451612902,16.322580645161292,NA,NA
Australian Capital Territory,2006,2,22.53392857142857,14.607142857142858,NA,NA
Australian Capital Territory,2006,3,19.372580645161293,11.812903225806451,NA,NA
Australian Capital Territory,2006,4,12.003333333333334,4.29,NA,NA
Australian Capital Territory,2006,5,8.754838709677419,1.3064516129032258,NA,NA
Australian Capital Territory,2006,6,5.346666666666667,-1.2466666666666666,NA,NA
Australian Capital Territory,2006,7,6.895161290322581,1.103225806451613,NA,NA
Australian Capital Territory,2006,8,7.203225806451613,-0.9419354838709677,NA,NA
Australian Capital Territory,2006,9,11.033333333333333,2.6566666666666667,NA,NA
Australian Capital Territory,2006,10,14.238709677419354,4.309677419354839,NA,NA
Australian Capital Territory,2006,11,17.776666666666667,9.033333333333333,NA,NA
Australian Capital Territory,2006,12,19.675806451612903,11.635483870967741,NA,NA
Australian Capital Territory,2007,1,22.851612903225806,14.241935483870968,NA,NA
Australian Capital Territory,2007,2,21.660714285714285,14.246428571428572,NA,NA
Australian Capital Territory,2007,3,18.86451612903226,11.925806451612903,NA,NA
Australian Capital Territory,2007,4,14.403333333333332,6.72,NA,7
Australian Capital Territory,2007,5,11.477419354838709,4.993548387096774,NA,NA
Australian Capital Territory,2007,6,6.558333333333334,1.47,NA,NA
Australian Capital Territory,2007,7,5.551612903225807,-0.24193548387096772,NA,NA
Australian Capital Territory,2007,8,9.21774193548387,3.390322580645161,NA,NA
Australian Capital Territory,2007,9,9.673333333333332,2.263333333333333,NA,NA
Australian Capital Territory,2007,10,15.193548387096774,7.161290322580645,NA,NA
Australian Capital Territory,2007,11,17.968333333333334,10.883333333333333,NA,NA
Australian Capital Territory,2007,12,18.779032258064518,12.438709677419356,NA,NA
Australian Capital Territory,2008,1,21.898387096774194,14.670967741935485,NA,NA
Australian Capital Territory,2008,2,18.094827586206897,11.617241379310345,NA,NA
Australian Capital Territory,2008,3,18.06935483870968,10.151612903225807,NA,NA
Australian Capital Territory,2008,4,11.623333333333333,3.7466666666666666,NA,NA
Australian Capital Territory,2008,5,9.220967741935485,1.2096774193548387,NA,NA
Australian Capital Territory,2008,6,9.191666666666666,3.8466666666666667,NA,NA
Australian Capital Territory,2008,7,5.317741935483871,-1.0548387096774192,NA,NA
Australian Capital Territory,2008,8,6.108064516129033,-0.6258064516129033,NA,NA
Australian Capital Territory,2008,9,10.371666666666666,2.73,NA,NA
Australian Capital Territory,2008,10,14.556451612903226,6.087096774193548,NA,NA
Australian Capital Territory,2008,11,16.566666666666666,9.596666666666668,67.6,NA
Australian Capital Territory,2008,12,18.09193548387097,10.92258064516129,121.2,NA
Australian Capital Territory,2009,1,22.124193548387098,13.225806451612904,43,NA
Australian Capital Territory,2009,2,21.089285714285715,13.442857142857143,7.2,NA
Australian Capital Territory,2009,3,18.835483870967742,11,10.2,NA
Australian Capital Territory,2009,4,13.546666666666667,7.456666666666667,72.6,NA
Australian Capital Territory,2009,5,9.788709677419355,3.1225806451612903,2.6,NA
Australian Capital Territory,2009,6,7.665,2.6,35,NA
Australian Capital Territory,2009,7,6.443548387096774,0.5709677419354838,30.6,NA
Australian Capital Territory,2009,8,8.108064516129032,1.6774193548387097,36.4,NA
Australian Capital Territory,2009,9,10.29,3.1966666666666668,57,NA
Australian Capital Territory,2009,10,12.174193548387096,5.329032258064516,45,NA
Australian Capital Territory,2009,11,20.455,11.95,16.2,NA
Australian Capital Territory,2009,12,20.203225806451613,11.603225806451613,75.6,NA
Australian Capital Territory,2010,1,23.41774193548387,15.187096774193549,6.8,NA
Australian Capital Territory,2010,2,21.04642857142857,14.839285714285715,133.20000000000002,NA
Australian Capital Territory,2010,3,17.88930107526882,11.036666666666667,88,2
