OBJECTID,X,Y
1448,-79.0099102,35.1483778
1449,-79.0136928,35.1177659
1450,-78.4182303,34.3732226
1451,-76.3316349,36.4455845
1454,-79.7513681,36.3882647
1457,-78.5412968,35.8414648
1458,-78.7116754,35.8594774
1459,-78.6005376,35.8196881
1460,-78.6558716,35.8090324
1461,-78.6479268,35.7484128
1462,-78.7243921,36.4481494
1463,-78.5791641,36.1449281
1465,-75.6770726,35.9164203
1466,-75.7103441,36.0649946
1467,-75.7341224,36.0976922
1468,-79.8438366,36.2003973
1469,-79.1945912,34.6793833
1472,-78.9800157,34.8053665
1474,-75.768722,35.8928916
1475,-75.4660933,35.5843742
1476,-77.8907402,34.4341553
1477,-77.5770519,34.450254
1478,-80.5606592,35.7115408
1479,-80.5421412,35.0206531
1480,-80.6112496,35.0289156
1481,-77.6981927,34.6632774
1482,-75.671152,36.0300517
1483,-78.1704649,34.5272704
1484,-80.5518539,34.9841727
1485,-80.6789181,35.4359607
1486,-80.4332404,35.4120011
1487,-80.4174641,36.3205263
1488,-80.1410377,36.3045426
1489,-79.581939,35.737405
1490,-77.9692919,35.3830802
1493,-78.9808599,34.6056773
1494,-79.0022154,34.6564006
1495,-79.0389808,34.6191157
1496,-79.7913595,36.1518856
1497,-78.9474137,34.2174638
1498,-78.9838952,35.1701944
1499,-78.0683543,34.0320181
1500,-81.5360055,35.290577
1502,-77.7908589,35.9382489
1503,-80.4097562,35.5526317
1504,-83.809665,35.3249996
1505,-83.8094097,35.3250036
1506,-79.6647588,36.3571759
1507,-79.1671179,34.8062812
1508,-80.461899,36.3878527
1510,-76.9393265,34.7253462
1511,-76.8604762,34.7866441
1512,-77.9662632,35.9750327
1513,-84.0323373,35.0877505
1515,-77.8734326,35.1133312
1516,-76.7486682,34.7245606
1517,-80.5919563,35.8844284
1518,-75.6730486,35.9015966
1519,-79.0031778,34.6211807
1520,-78.3307074,36.0858532
1521,-81.5386429,35.9156482
1522,-79.4603499,34.7800107
1523,-80.6090369,35.5466291
1525,-77.961633,34.9629219
1527,-83.1983052,35.0540342
1528,-81.3442053,35.7263372
1529,-78.390706,36.3446461
1530,-80.8086316,35.9953896
1531,-77.4351959,35.372989
1533,-77.9692894,35.383086
1534,-78.0633247,35.42685
1535,-76.6388691,36.3635169
1536,-78.6251819,35.7086955
1537,-78.398032,34.7840968
1538,-78.4584134,36.1037113
1540,-78.4283699,35.4440887
1542,-82.3974333,35.5151801
1544,-79.5066964,36.0978337
1545,-78.6058605,34.6213886
1546,-78.5807517,34.7992308
1547,-78.9391103,36.120069
1548,-78.9297162,36.0360955
1549,-81.1783718,35.3140253
1551,-79.1121694,34.4882234
1552,-77.0304481,34.6642554
1553,-80.2311573,36.4174404
1556,-82.1979207,35.2499315
1557,-76.2467412,35.9278437
1558,-81.1518071,35.7105424
1559,-83.3136735,35.488365
1560,-83.1209717,35.1304435
1561,-82.3143805,35.9136118
1562,-83.4495984,35.4296683
1563,-77.0202582,35.1224509
1564,-81.6673149,36.2139074
1565,-76.7812347,35.1438658
1566,-76.7299983,35.4353115
1570,-80.2015768,35.3984601
1571,-80.7140865,35.3855822
1572,-81.7672235,35.245255
1573,-79.6949629,36.3361534
1574,-79.6529303,36.3352052
1577,-79.4322927,35.9249866
1578,-79.4949417,35.912032
1579,-79.4955855,36.112211
1581,-79.7177571,35.8443131
1582,-79.0235951,35.4367889
1583,-76.8160845,34.7404839
1584,-76.7215779,34.7232774
1585,-76.6056444,36.0680972
1587,-81.3287424,35.703599
1588,-79.1102401,35.3600362
1589,-76.9580568,34.6771344
1590,-81.3572179,35.7341536
1591,-79.3335255,36.4066897
1592,-77.8058937,34.2156607
1593,-80.5917807,35.7695678
1594,-77.4120681,35.5368639
1595,-76.945676,35.9990752
1596,-77.985646,34.3125691
1597,-82.5600284,35.6962774
1599,-81.5686672,35.7500001
1600,-83.179557,35.3112489
1601,-81.3800791,35.3776483
1602,-80.2187903,35.4412778
1604,-81.1953498,35.5929359
1605,-78.3142184,35.0080094
1606,-81.5616378,35.8991073
1608,-80.3269067,35.2233168
1609,-80.685233,35.72836
1611,-80.1179641,35.4042391
1612,-81.5376768,35.28965
1613,-79.542485,35.5641811
1615,-79.4611329,36.0212723
1616,-77.2234968,35.0067983
1617,-83.8192944,35.4353973
1618,-78.5534796,33.8981273
1619,-77.6980388,35.5986996
1620,-82.8383452,35.5368874
1622,-79.0517589,35.6159322
1623,-79.7844105,35.3976392
1624,-79.6654228,36.3300938
1625,-79.2708494,36.1018004
1627,-80.4341543,35.1934005
1628,-77.5710122,34.91016
1629,-78.2146914,34.3498689
1632,-80.8205787,36.4991532
1633,-77.7750724,35.4898866
1634,-78.9897477,34.6345249
1635,-77.3534576,35.0448014
1636,-83.4501357,35.4284493
1637,-80.8874435,35.2245194
1638,-76.9902501,36.0461855
1639,-80.6539022,35.4181066
1640,-80.6879719,35.3521921
1642,-78.4774641,36.0251233
1643,-80.6591215,36.135475
1644,-80.6714371,36.134149
1645,-77.2117011,36.3297897
1646,-80.2291135,36.1312693
1647,-76.9399634,35.9914593
1648,-77.9454768,35.7159238
1650,-77.9787599,34.6899809
1651,-79.3996466,35.2525298
1652,-78.3644245,35.7809681
1653,-82.9882546,35.4931062
1654,-78.1639148,36.4067976
1655,-80.0746401,34.9647928
